PC,value_max,lambda_max_um,value_min,lambda_min_um,value_absmax,lambda_absmax_um
PC1_U,0.340331619490251,12.39157373,0.0002658593582891,2.503128911,0.340331619490251,12.39157373
PC2_U,0.2914432475759094,12.67427123,-0.0998657461087623,7.598784195,0.2914432475759094,12.67427123
PC3_U,0.0734217579265862,7.86163522,-0.2386391759974018,12.67427123,-0.2386391759974018,12.67427123
PC4_U,0.1220723548698534,7.86163522,-0.0874179098171298,12.67427123,0.1220723548698534,7.86163522
PC5_U,0.0995287032829628,7.496251874,7.750154928097955e-05,3.505082369,0.0995287032829628,7.496251874
PC6_U,0.1779918306646434,7.581501137,9.100516141864256e-05,3.505082369,0.1779918306646434,7.581501137
PC7_U,0.0008901760634853,8.223684211,-0.1686254233223698,7.581501137,-0.1686254233223698,7.581501137
PC8_U,0.1998077098741789,7.336757153,-0.0006827556046825,9.487666034,0.1998077098741789,7.336757153
PC9_U,0.0126042291638039,11.93317422,-0.0539777643675568,6.863417982,-0.0539777643675568,6.863417982
