wavelength_um,PC1_U,PC2_U,PC3_U,PC4_U,PC5_U,PC6_U,PC7_U,PC8_U,PC9_U
2.984183826,-0.7795365889552144,-0.090667986114618,0.12695947431937438,-0.3511895256920445,-0.7739971048526103,-0.7324921978301592,0.5789589231656773,-0.5893129206213542,0.4737789981575388
2.985074627,-0.7796173959994332,-0.08640000702939075,0.12247035934073851,-0.35877204660209283,-0.7793708454049895,-0.7411749247238394,0.5887917807105946,-0.5985850018879707,0.4819718020504829
2.98596596,-0.7814187529883883,-0.07990806825569621,0.11662103817787199,-0.3680106962369881,-0.7910935962163568,-0.7496488829957474,0.5943361799335362,-0.6050733174163433,0.492954060602215
2.986857826,-0.7790297483969421,-0.0888849342508221,0.12504736338946246,-0.3542726679214908,-0.7757393920816575,-0.73604178502028,0.5832646537593745,-0.5933065537766062,0.47709513306658796
2.987750224,-0.7825759840338125,-0.07922628245933404,0.11613431903207731,-0.3691213086151801,-0.7932833724019709,-0.7506380610041409,0.5947531819222666,-0.6055486989501053,0.4935002475284115
2.988643156,-0.7795969039811906,-0.0881696986462682,0.12440854451060508,-0.35521693524570647,-0.7771201427935274,-0.7367496546862886,0.5834250391396555,-0.5935635167678285,0.4776803333446535
2.989536622,-0.785534254664648,-0.07724684086874209,0.11472631007459595,-0.37198010714423113,-0.7988099503942443,-0.7531717450256424,0.5957204291387301,-0.6066311555506291,0.4956849952331971
2.990430622,-0.7858105266067908,-0.07731177284934783,0.1147306557812545,-0.3718854994231258,-0.7991525684368915,-0.7532671920264513,0.5957204291387301,-0.6066322262297592,0.4956849952331971
2.991325157,-0.7792721389029431,-0.08556075134188011,0.12163163795557266,-0.359668763263006,-0.7805169772398252,-0.7415417882869533,0.5885450339717012,-0.5986171222618737,0.4831422026066206
2.992220227,-0.7784354603782124,-0.09179890445319554,0.12789380125103508,-0.34910470058921816,-0.7713866532963698,-0.7302137043808246,0.5769726119175828,-0.5872572166915722,0.47168203049446344
2.993115834,-0.7784140551287224,-0.08840963215278651,0.12443896445721664,-0.3547210262519474,-0.775902061169732,-0.7361393145011077,0.5830425816943707,-0.5933600877331107,0.4776803333446535
2.994011976,-0.7786380640716205,-0.08945838202136105,0.12560361384180066,-0.3528050142306054,-0.775094227410915,-0.7339268530223333,0.5801679821862586,-0.5906298559513694,0.4760710325799716
2.994908655,-0.7780826802608946,-0.09028646153766363,0.12617724712077308,-0.35217550268112985,-0.7722947400737521,-0.7340387863232842,0.5821049440865743,-0.5919467912813864,0.4744617318152831
2.995805872,-0.7774225003802461,-0.08582990423967095,0.12138393267601676,-0.3597921646383599,-0.7777973348030365,-0.7420755973314824,0.590630043915352,-0.6001910205831128,0.4837274028846862
2.996703626,-0.7794945858862996,-0.09910449997295723,0.1364790924122091,-0.3344288218210262,-0.7657102171515325,-0.7116525599833192,0.5525836707518467,-0.5645487547497507,0.45495505587969653
2.997601918,-0.7778769275902273,-0.09523921722563221,0.1309555688775582,-0.3444319018424497,-0.7649105764328639,-0.7260693956056585,0.5747148792567052,-0.5842351177789687,0.46529359412555865
2.99850075,-0.7782307183872487,-0.09628070651819381,0.132640355892143,-0.3411553485240307,-0.7661002058626826,-0.7210710097132422,0.5662203760235494,-0.5769850140495353,0.4625626594945751
