component,explained_variance_ratio
E1,0.7115982448183931
E2,0.26871818566186917
E3,0.01685076419412477
E4,0.0022486657226631727
E5,0.00045732951817747583
E6,7.951766194406803e-05
E7,3.403534533279889e-05
E8,1.003289292060883e-05
E9,3.224184575045879e-06
